ch21 : pid = 2276, exit_time : Mon Nov 30 19:15:54 2020

ch11 : pid = 2275, exit_time : Mon Nov 30 19:15:54 2020

ch2 : pid = 2274, exit_time : Mon Nov 30 19:15:56 2020

ch1 : pid = 2273, exit_time : Mon Nov 30 19:15:56 2020

ch0 : pid = 2272, exit_time : Mon Nov 30 19:15:58 2020

